Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Sub_Category,Product_Name,Region,State,City,Quantity,Sales,Discount,Cost,Profit,Payment_Mode,Sales_Channel
ORD00001,2025-03-29,CUST1483,Customer_1483,Home & Kitchen,Vacuum Cleaner,Vacuum Cleaner,South,Karnataka,Bengaluru,5,58065.67,0.1,40322.98,17742.69,Net Banking,Offline
ORD00002,2025-01-22,CUST1338,Customer_1338,Clothing,T-Shirt,T-Shirt,North,Haryana,Faridabad,2,23928.14,0.2,22563.35,1364.79,Net Banking,Offline
ORD00003,2025-11-03,CUST1155,Customer_1155,Electronics,Laptop,Laptop,South,Tamil Nadu,Madurai,3,78809.61,0.15,69362.06,9447.55,Net Banking,Online
ORD00004,2025-04-02,CUST1364,Customer_1364,Furniture,Bookshelf,Bookshelf,East,West Bengal,Howrah,2,59167.16,0.05,38889.52,20277.64,Cash,Online
ORD00005,2025-01-02,CUST1412,Customer_1412,Home & Kitchen,Vacuum Cleaner,Vacuum Cleaner,South,Karnataka,Mangalore,3,185616.98,0.15,140972.61,44644.37,Credit Card,Offline
ORD00006,2025-08-01,CUST0296,Customer_0296,Sports,Football,Football,South,Tamil Nadu,Coimbatore,2,121785.92,0.15,87586.54,34199.38,Net Banking,Offline
ORD00007,2025-01-09,CUST1863,Customer_1863,Sports,Football,Football,East,West Bengal,Kolkata,1,19242.99,0.2,14880.55,4362.44,UPI,Offline
ORD00008,2025-02-10,CUST1018,Customer_1018,Clothing,Jacket,Jacket,North,Delhi,Rohini,3,148358.38,0.2,154213.94,-5855.56,Cash,Online
ORD00009,2025-04-11,CUST1763,Customer_1763,Electronics,Monitor,Monitor,North,Haryana,Gurugram,5,263266.61,0.1,216554.59,46712.02,Debit Card,Online
ORD00010,2025-06-28,CUST1485,Customer_1485,Sports,Football,Football,West,Gujarat,Vadodara,3,119863.19,0.05,76504.86,43358.33,UPI,Offline
ORD00011,2025-11-23,CUST1184,Customer_1184,Sports,Yoga Mat,Yoga Mat,West,Maharashtra,Nagpur,5,173669.47,0.2,142669.37,31000.1,Debit Card,Online
ORD00012,2025-12-06,CUST1580,Customer_1580,Home & Kitchen,Cookware,Cookware,South,Tamil Nadu,Chennai,1,7553.77,0.15,7117.59,436.18,Debit Card,Offline
ORD00013,2025-08-21,CUST0628,Customer_0628,Furniture,Bookshelf,Bookshelf,East,West Bengal,Durgapur,1,19921.06,0.1,15644.16,4276.9,Debit Card,Online
ORD00014,2025-08-21,CUST1632,Customer_1632,Clothing,Shirt,Shirt,West,Maharashtra,Mumbai,3,59179.36,0.1,44765.94,14413.42,Cash,Online
ORD00015,2025-07-06,CUST1105,Customer_1105,Electronics,Mobile,Mobile,North,Rajasthan,Jodhpur,2,91400.82,0.2,76686.44,14714.38,UPI,Offline
ORD00016,2025-02-22,CUST1154,Customer_1154,Furniture,Bookshelf,Bookshelf,North,Punjab,Jalandhar,5,139665.82,0.0,92164.14,47501.68,Cash,Offline
